Label,a_acc,a_don,logP(o/w),TPSA,Weight,Molecular_Formula
TICT,1,0,2.2869999,28.719999,174.22701,C9H6N2S
TICT,1,0,2.444,28.719999,174.22701,C9H6N2S
TICT,2,1,1.475,40.540001,165.192,C9H11NO2
TICT,1,0,1.748,20.309999,149.19299,C9H11NO
TICT,2,0,1.22,87.980003,208.177,C8H8N4O3
TICT,4,0,2.3740001,36.919998,584.58398,C8H6O4Pb2
TICT,2,0,0.14399999,37.380001,153.181,C8H11NO2
TICT,9,0,22.111,103.77,1297.569,C87H72N6O6
TICT,0,0,21.530001,12.96,1043.4559,C76H74N4
TICT,3,0,19.052999,43.599998,903.10095,C67H42N4
TICT,3,0,16.468,83.010002,902.138,C64H49N6+3
TICT,2,0,19.34152,54.060001,983.07196,C64H44F6N4
TICT,2,0,16.653999,54.060001,819.02399,C60H42N4
TICT,1,0,16.607,37.25,844.15601,C59H61N3O2+2
TICT,0,0,15.49576,49.830002,972.54596,C57H57B3F6N6
TICT,6,0,10.83653,69.18,1003.574,C56H66N4O4SSi4
TICT,0,0,18.396,0,910.49396,C56H56B2Br2
TICT,6,0,16.92812,83.82,885.09198,C56H36N8S2
TICT,6,0,17.24612,83.82,883.07599,C56H34N8S2
TICT,0,0,14.67092,23.09,812.81598,C55H47BF2N4
TICT,2,0,16.747999,37.380001,729.96399,C53H47NO2
TICT,2,0,15.902,38.130001,739.96301,C53H45N3O
TICT,6,2,6.9099202,135.71001,932.75,C49H54B2F2N5O6S2+
TICT,1,0,10.678,20.309999,742.06201,C48H48NOPSi2
TICT,1,0,11.154,22,740.04596,C48H46NOPSi2
TICT,0,0,13.112,14.24,672.87598,C48H40N4+2
TICT,4,0,11.645,78,751.90698,C48H37N3O4S
TICT,6,0,10.285,145.98,701.79297,C48H27N7
TICT,0,0,13.90292,19.85,701.71301,C47H46BF2N3
TICT,2,0,12.709,21.700001,663.66901,C47H42BNO2
TICT,2,0,12.861,21.700001,663.66901,C47H42BNO2
TICT,0,0,13.751,7.1199999,631.84296,C47H39N2+
TICT,5,0,11.90553,57.130001,673.81598,C47H35N3O2
TICT,3,0,9.9759197,50.779999,752.71399,C46H47BF2N4O3
