True Label,AM1_dipole,AM1_HF,AM1_HOMO,AM1_LUMO,ASA+,ASA-,ASA_P,CASA+,CASA-,DASA,DCASA,dipoleX,dipoleY,dipoleZ,E,E_ang,E_ele,E_oop,E_sol,E_tor,FCASA+,FCASA-,MNDO_dipole,pmi,pmi1,pmiX,pmiY,pmiZ,rgyr,std_dim1,std_dim2,std_dim3,vsurf_A,vsurf_CP,vsurf_CW2,vsurf_CW3,vsurf_D3,vsurf_D8,vsurf_DD12,vsurf_DD13,vsurf_DD23,vsurf_DW12,vsurf_DW13,vsurf_DW23,vsurf_EDmin1,vsurf_EWmin1,vsurf_HB1,vsurf_HB2,vsurf_HB3,vsurf_HB5,vsurf_ID3,vsurf_ID6,vsurf_ID7,vsurf_ID8,vsurf_IW1,vsurf_IW2,vsurf_IW3,vsurf_IW4,vsurf_IW6,vsurf_IW7,vsurf_IW8,vsurf_W1,vsurf_W2,vsurf_W3,vsurf_W4,vsurf_W7,vsurf_Wp2,vsurf_Wp3,vsurf_Wp5,ast_fraglike,ast_fraglike_ext,ast_violation,ast_violation_ext,a_acc,a_acid,a_aro,a_base,a_don,a_donacc,a_heavy,a_IC,a_nCl,a_nF,a_nH,a_nN,a_nO,a_nS,balabanJ,b_1rotN,b_double,b_max1len,b_single,b_triple,chi1v_C,chiral,chiral_u,diameter,FCharge,GCUT_SLOGP_0,h_ema,h_emd,h_emd_C,h_logS,h_log_dbo,h_log_pbo,h_pavgQ,h_pKa,h_pKb,h_pstates,h_pstrain,Kier3,KierA2,lip_acc,lip_don,lip_druglike,lip_violation,logP(o/w),mutagenic,opr_brigid,opr_leadlike,opr_nrot,opr_violation,PC+,PC-,PEOE_PC+,PEOE_PC-,PEOE_VSA+0,PEOE_VSA+1,PEOE_VSA+2,PEOE_VSA+3,PEOE_VSA+4,PEOE_VSA+5,PEOE_VSA+6,PEOE_VSA-0,PEOE_VSA-1,PEOE_VSA-2,PEOE_VSA-3,PEOE_VSA-4,PEOE_VSA-5,PEOE_VSA-6,PEOE_VSA_NEG,PEOE_VSA_PNEG,PEOE_VSA_POL,PEOE_VSA_POS,PEOE_VSA_PPOS,Q_VSA_HYD,Q_VSA_NEG,Q_VSA_PNEG,Q_VSA_POL,Q_VSA_POS,Q_VSA_PPOS,radius,reactive,rsynth,SlogP,SlogP_VSA0,SlogP_VSA1,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,SMR_VSA0,SMR_VSA1,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,TPSA,VDistEq,vsa_acc,vsa_acid,vsa_base,vsa_don,vsa_other,vsa_pol,weinerPath,E_vdw
1,3.0860348,47.072269,-8.4803696,-1.18672,626.40479,368.98761,19.448071,2781.8638,1639.0428,257.41718,1142.8208,-0.002539459,0.032238904,0.33187249,110.6774,20.817446,-7.4071813,0.27728078,1.772393,30.419754,2.7947407,1.6466299,1.896699,24129.586,4697.0469,19426.445,4141.167,561.97321,6.1752625,5.7214508,2.9999959,1.2276133,3.6610227,0.38786316,1.7113464,0.83221447,771.75,174,5.5,0.5,6,4.5,0.5,4.5276928,-2.8401484,-6.0354886,198.125,187,220.625,27,0.30114615,1.1426097,1.2000107,0.90994489,0.16505054,0.81641024,1.8358943,3.0794239,3.6026983,3.5721455,3.6300323,1824.875,905.625,370.375,82.375,3.5,718.625,149.75,0,0,0,3,4,6,0,38,0,0,6,48,114.36003,0,0,36,2,4,0,1.143442,8,0,2,50,0,12.452135,0,0,18,0,-0.89024091,7.8219471,12.49966,12.49966,-11.492749,0,21.252026,0.25587165,14,7.4871912,1.8039968,0.17155434,7.32687,11.587697,6,0,0,2,10.12748,1,40,0,8,3,5.868,-5.8730001,2.877754,-2.877754,138.83418,154.75978,33.834076,0,0,0,0,144.36874,122.54904,0,0,11.365152,0,10.015024,288.29797,21.380177,21.380177,327.42804,0,567.54761,283.88089,21.380177,48.178383,331.84512,26.798204,9,0,0.5,10.10224,43.99955,33.57106,0,0,6.37115,141.53548,0,351.63846,0,87.62574,0,77.57061,0,27.344862,34.061146,317.57733,0,208.1875,62.700001,3.9162109,21.380177,0,0,0,0,21.380177,8243,43.965687
1,11.488859,14.92615,-6.5626798,0.028109999,485.74426,281.45929,163.91145,2339.3445,1357.1967,204.28499,982.14777,-1.8231485,-1.5882393,-0.19862252,99.681641,30.592531,-21.587299,0.4818669,-8.007575,45.661282,3.0491836,1.7690177,9.4401398,10622.221,3630.8125,6624.9487,3242.365,754.90704,4.74614,4.3055954,2.8338661,1.2915237,2.7191362,0.13948697,1.8171638,1.1151179,510.5,98.625,0.5,7.1763501,6.98212,0.5,0.5,0.70710677,-2.7509782,-7.525209,295.5,320.625,320.875,56.75,0.59392864,0.60355222,0.73051137,1.0090702,0.42381939,0.97333521,1.3912153,1.7201371,3.4212136,5.0996966,5.7509208,1537.125,852.625,443.375,156.25,6.375,532,122.5,4,0,0,3,4,5,0,12,0,3,8,35,95.757729,0,0,29,3,4,0,1.3947819,6,5,6,51,0,9.1478653,1,1,13,0,-2.2526338,7.2611952,18.87812,10.866473,-5.7945929,0,12.113523,-0.99608201,4.5947886,11.735456,1.0261699,71.715675,5.3065081,8.3515892,7,2,1,0,4.9489999,0,27,0,6,2,6.592,-6.6030002,2.8856299,-2.8856299,68.623497,112.80752,0,0,10.324173,27.65803,8.6190128,111.88827,64.420479,0,21.675943,0,27.133842,10.271297,235.38983,37.40514,84.006355,228.03223,46.601215,275.55573,235.18304,96.576439,187.86633,228.23901,91.289894,7,0,0.2,3.2941799,17.125994,15.760995,30.330866,69.431923,33.418941,19.848583,0,158.78867,37.736813,107.97822,50.848747,27.662895,35.554562,24.454376,2.7567475,196.52547,52.640152,99.978043,83.639999,3.5148942,25.491716,0,0,0,41.057133,52.625557,3465,12.94286
1,5.9810357,-23.896669,-8.4151001,-0.60521001,289.0957,232.31424,112.00411,705.68262,568.0083,56.781479,137.67433,0.91016561,-0.46770859,-0.20197082,47.57383,11.337687,-2.4739275,-0.74757373,-0.9014321,11.546679,1.3534123,1.0893699,2.4939463,4116.9521,628.95361,3228.8499,806.45685,81.645554,3.825556,4.0308065,1.6025246,0.67885125,5.5846281,0.27047879,1.8449985,0.97278661,370.625,72.625,6.5764732,0.5,6.5954528,0.5,0.5,1,-2.4443293,-8.3683786,191.75,157.125,177.5,25.75,0.95467621,1.1324164,0.4983952,0.10961562,0.38284606,1.6531924,2.7460303,3.9539309,5.4639578,5.5027375,5.4670544,1039.625,501.625,222.75,67.625,5.625,344.5,45.25,1.625,0,0,1,1,2,0,12,0,1,3,21,53.272186,0,0,15,1,3,0,1.6341459,2,2,4,24,0,4.6487174,0,0,11,0,-0.98071975,4.1291103,6.784472,4.5915694,-4.4322948,0,9.0679512,-0.60058916,6.8228421,14,1.9601357,0.54717243,3.2,4.5409174,4,1,1,0,3.072,0,17,1,2,0,3.2920001,-3.2939999,1.62712,-1.62712,34.500408,44.790146,8.458519,8.458519,18.782692,0,0,95.496994,49.019615,0,0,0,13.566921,10.271297,168.35483,23.838217,42.620911,114.99029,18.782692,243.22795,121.87745,21.334461,40.117153,161.46767,18.782692,6,0,0.76190478,3.2544999,14.124202,5.6876111,0,25.385227,30.233366,71.037804,0,146.3889,0,8.0001755,23.862217,10.999887,28.509541,16.858006,8.0001755,141.14548,5.6876111,65.794373,49.77,3.1960297,13.566921,0,0,0,10.962276,27.133842,920,21.048428
1,5.7229543,-35.244141,-8.3759298,-0.59810001,319.43784,237.84184,130.14705,907.52289,676.42224,81.595978,231.10065,0.92145622,-0.41957667,0.15468755,56.395931,18.627903,-3.2531719,-0.50911707,2.140866,11.770623,1.6284873,1.213793,2.5734098,5192.2642,764.76025,4048.9951,1026.6521,116.6171,4.0967817,4.2032542,1.6876928,0.80127472,5.9883947,0.28726,1.8135847,0.90644383,406.625,78.875,6.3442888,0.5,6.4031243,0.5,0.5,1,-2.5342462,-8.1748781,186.875,156.375,169.75,26.625,0.94973063,1.1527294,0.57761031,0.37199679,0.47798598,1.7682741,3.090322,4.2870865,5.6735854,5.6931348,5.7034435,1098.875,529.125,220.25,67.625,5.75,372.75,50.5,1.375,0,0,2,3,2,0,12,0,1,3,23,60.301197,0,0,19,1,3,0,1.5966899,4,2,6,30,0,6.0629311,0,0,12,0,-0.98051047,4.1482558,6.9177256,4.724812,-4.9108539,0,9.0679464,-0.60065991,6.8227143,14,1.9600792,0.54727805,3.6651394,5.6324601,4,1,1,0,3.7539999,0,17,1,4,0,3.7720001,-3.7739999,1.7089497,-1.7089497,77.946602,44.790146,8.458519,8.458519,18.782692,0,0,49.019615,86.514969,0,0,0,13.566921,10.271297,159.3728,23.838217,42.620911,158.43648,18.782692,213.81212,159.3728,58.829815,103.99715,158.43648,45.167343,6,0,0.78260869,4.0346999,14.124202,5.6876111,0,62.264381,30.233366,5.2434282,0,146.3889,0,74.652206,23.862217,10.999887,28.509541,16.858006,8.0001755,141.14548,42.566769,66.652031,49.77,3.344336,13.566921,0,0,0,10.962276,27.133842,1218,16.613823
1,5.1898608,-37.803719,-8.5724096,-0.67067999,342.90668,224.5638,84.564545,970.08295,635.96466,118.34287,334.11829,0.78382379,-0.4201192,-0.091602497,60.063671,17.459036,-0.60224694,-1.4105352,-0.84237444,15.537362,1.7094862,1.120701,2.404892,5854.7588,754.828,4708.8335,1021.0269,124.89812,4.2682295,4.3725276,1.595793,0.83961874,6.1015444,0.28059512,1.9282455,0.90065646,414.25,81.625,0.5,0.70710677,0.5,0.5,0.5,1,-2.5007198,-7.9943113,186.5,150.875,174.25,25.75,0.78610802,1.272553,0.63472658,0.55594385,0.48525837,1.7905512,3.3046832,4.5178194,5.9174304,5.909822,5.9250755,1129.625,544.875,226.75,68.625,5.75,394,52.5,1.375,0,0,2,3,2,0,12,0,1,3,24,61.425312,0,0,19,1,3,0,1.3466135,2,2,2,32,0,6.6487174,0,0,13,0,-0.97975647,4.1443901,6.9389663,4.7459693,-4.9653177,0,9.0679064,-0.60099012,6.8221164,14,1.9598138,0.54777116,3.6183696,5.5716801,4,1,1,0,4.046,0,23,1,4,0,3.7720001,-3.7739999,1.7347537,-1.7347537,77.946602,44.790146,8.458519,8.458519,18.782692,0,0,66.422241,57.720928,0,0,0,13.566921,10.271297,147.98138,23.838217,42.620911,158.43648,18.782692,239.91606,147.98138,21.334461,66.501801,158.43648,45.167343,7,0,0.79166669,4.1788001,14.124202,5.6876111,0,62.264381,30.233366,5.2434282,0,146.3889,56.605217,8.0001755,23.862217,10.999887,28.509541,16.858006,8.0001755,197.75069,42.566769,0,49.77,3.422565,13.566921,0,0,0,10.962276,27.133842,1384,12.020869
1,4.3320189,-65.099899,-8.6503696,-0.73254001,321.10928,238.52992,98.618973,862.82068,639.73724,82.579376,223.08344,0.59602958,-0.53999019,0.00058275,59.757191,16.150187,-1.5491778,-1.5806898,0.38922775,17.415457,1.5417445,1.1431245,2.5913424,6317.3354,683.70422,5252.0303,1000.8381,64.467026,4.4200978,4.4496512,1.619188,0.64135629,3.8602509,0.1854533,2.1810918,1.2097408,374.5,77.625,0.5,0.5,0.70710677,0.5,1,0.5,-2.5265219,-7.9606261,269.875,286.5,246.625,32.75,0.65043437,0.8502838,0.40565655,0.86552715,0.25403982,0.87697965,1.396616,2.2376764,5.4076619,5.9704714,5.9694676,1209.75,675.5,301.125,95,5.75,389,54.5,1.375,0,0,2,3,3,0,12,0,1,4,24,61.462143,0,0,17,1,4,0,1.3466135,2,2,2,30,0,5.6487174,0,0,13,0,-0.98591101,5.4397202,8.1257496,5.9319239,-4.4367962,0,9.0675144,-0.60428083,6.8161483,14,1.9571232,0.55270797,3.6183696,5.5716801,5,1,1,0,2.638,0,23,1,4,0,3.852,-3.8540001,1.9772899,-1.9772899,52.354286,91.75428,8.458519,8.458519,18.782692,0,0,49.019615,49.019615,0,0,0,13.566921,12.775052,124.3812,26.341974,45.124664,179.80829,18.782692,235.18394,124.3812,23.838217,69.005562,179.80829,45.167343,7,0,0.79166669,3.0251,14.124202,5.6876111,10.999887,104.1169,30.233366,5.2434282,0,146.3889,0,8.0001755,34.862103,10.999887,28.509541,16.858006,8.0001755,141.14548,84.419281,0,59,3.422565,16.070677,0,0,0,10.962276,29.637598,1384,13.96668
1,1.3264358,40.987492,-8.3403702,-0.18754999,257.35229,164.23691,0,424.11658,270.82666,93.115379,153.2899,0.1115604,0.096708551,-0.035463128,40.085182,6.2100043,-2.1558022,-1.7264941,-2.3782182,13.24079,1.0059949,0.64239472,0.093770996,1446.2076,623.42926,768.02802,617.24371,60.935913,2.6937976,2.3327544,2.0949366,0.78685546,4.4758515,1.3870155,1.4490215,0.42250574,313,44.125,0.5,0.70710677,0.5,0.70710677,0.70710677,1.4142135,-2.4878681,-4.8555431,75.125,15.25,49.5,4.875,0.27840349,0.65278518,1.1485198,1.3482392,0.18435951,0.91715616,2.569279,4.1966944,4.1836343,0,0,719,246.375,66.125,13.375,0,231.125,16.625,0,0,0,1,1,0,0,10,0,0,0,15,37.210163,0,0,17,1,0,0,2.1751914,1,0,4,22,0,4.1547008,0,0,6,0,-0.98088121,1.015325,3.3335404,3.3335404,-3.6686912,0,5.5486436,0,14,14,1,0,2.0978148,3.1488647,1,0,1,0,3.6700001,0,11,1,1,0,2.0680001,-2.069,0.74342126,-0.74342126,60.092724,21.326929,0,0,0,0,0,90.598351,61.274521,0,0,0,0,0,151.87288,0,0,81.419655,0,233.29253,103.18695,0,0,130.10558,0,4,0,0.13333334,3.52264,3.1243138,0,0,0,6.37115,65.794373,0,93.361847,0,69.408775,0,0,3.1243138,6.37115,7.9026761,88.215919,0,132.44641,3.24,2.4394913,0,0,0,0,0,0,324,25.372093
1,0.81647414,57.58371,-8.3853397,-0.28466001,319.29126,160.89104,0,626.13019,315.34644,158.40024,310.78375,0.17904875,0.005297927,0.001488919,65.248909,10.04048,-0.29117966,-3.9615533,-1.5798532,27.118286,1.3039427,0.65672231,0.62553895,2081.3208,881.73584,776.47766,1195.9825,108.8605,2.9304457,2.6532388,2.0658746,0.99783897,3.4089193,1.1742302,1.5461723,0.55619097,347.625,58.5,0.5,0.5,0.70710677,0.5,0.70710677,0.5,-2.6437984,-4.2874031,101.5,72.75,73.875,5.375,0.34901148,0.85648125,1.26616,0.95499867,0.063023753,0.98915482,2.2702439,3.1756396,3.3530741,0,0,811.375,330.25,103.25,19.375,0,257.5,29.375,0,0,0,1,1,0,0,10,0,0,0,18,48.769627,0,0,22,2,0,0,2.3020327,2,0,4,30,0,4.0773501,0,0,7,0,-0.98192292,2.2843826,4.4672742,4.4672742,-3.8715146,0,5.7751856,0,14,14,1,0,2.5246549,4.0400248,2,0,1,0,3.5439999,0,11,1,2,0,2.756,-2.756,0.94992167,-0.94992167,94.593132,17.061544,0,0,0,0,0,134.86719,49.019615,0,0,0,0,0,183.88681,0,0,111.65467,0,295.54147,90.932053,0,0,204.60944,0,4,0,0.22222222,3.58864,6.2486277,0,0,0,6.37115,131.58875,0,75.718666,0,72.165527,0,0,6.2486277,6.37115,10.659424,70.572739,0,198.24078,6.48,2.6033292,0,0,0,0,0,0,523,27.422064
1,3.6443126,-160.82884,-9.39849,-1.3246,251.92323,199.10869,204.3192,684.22351,541.17743,52.814548,143.0461,-0.025443431,-0.45571142,-0.48908061,-1.3102682,10.200468,-49.090393,0.37495777,0.18770927,20.513195,1.517018,1.199865,3.22963,2784.8625,469.38391,827.65039,1831.6191,125.59306,3.3494327,3.4114926,1.3381718,0.80114269,1.4227451,0.12295433,2.1390026,1.3111413,247.375,38.25,4.0311289,5.1478152,1.8027756,0.70710677,8.4557676,8.8034086,-2.1838355,-5.7127504,264.25,313.5,247.125,35.75,0.48886591,0.95465338,1.6671833,1.3149335,0.51090145,0.90075755,0.77225834,0.80571049,1.9567444,3.35917,0,972.625,563,280.125,101,2.125,249.5,33,2.125,1,1,0,0,3,0,6,0,1,4,18,44.471809,0,0,12,0,5,0,1.8976691,1,3,4,22,0,3.8987174,0,0,10,0,-0.84861404,5.2524672,7.0582457,5.1084962,-3.1491416,0,6.5160656,-0.49215829,7.0136237,14,1.9997541,0.40395257,3.75,4.0400248,5,1,1,0,3.0009999,0,13,1,1,0,3.7909999,-3.79,1.6806004,-1.6806004,25.592316,29.78545,2.2085397,1.1085443,10.324173,0,29.416998,76.468605,24.509808,0,0,0,32.141354,7.7675405,140.88731,39.908894,79.650063,98.43602,39.741173,121.06937,138.67877,77.404251,118.25397,100.64456,40.849716,5,0,0.55555558,1.6117001,25.385227,15.490929,69.724205,0,3.185575,3.185575,0,70.572739,17.643185,71.895454,69.724205,25.385227,0,11.614578,0,70.572739,33.134113,66.652031,72.830002,3.0611167,27.133842,0,0,0,35.533054,40.700764,619,5.679637
1,2.6423509,-232.44868,-9.0910301,-1.30549,321.49905,211.86638,180.65845,959.67468,631.99738,109.63268,327.67728,0.087971993,-0.3503271,-0.24058539,20.595734,14.121655,-44.29446,0.48117861,-0.029238828,26.08993,1.7992817,1.1849238,1.6580889,4225.708,967.61682,1220.6757,2856.1545,148.87782,3.7023106,3.6094267,1.9765295,0.81933749,0.89027792,0.089054354,1.8963287,1.4285774,271.375,31.875,0.5,6.5954528,6.8738637,10.136567,9.810708,0.70710677,-2.2419205,-5.6855063,275.125,389.375,344.375,52.25,0.42867941,1.026149,1.2949359,1.664019,0.19765824,0.57675964,0.6011039,0.69005036,0.89319593,1.666008,0,1092,671,389.5,153.25,2.5,281.625,45.125,1.125,0,0,2,2,5,0,6,0,1,6,22,57.166401,0,0,16,0,7,0,2.00945,3,3,4,30,0,3.7320509,0,0,10,0,-0.89022559,7.0907702,9.3768101,7.2157645,-3.3534985,0,6.862412,-0.95160449,5.7063489,14,1.2138094,1.8053941,4.3083901,5.6453762,7,1,1,0,2.983,0,13,1,3,0,4.2150002,-4.2160001,2.2381754,-2.2381754,75.587631,38.388474,27.584099,1.1085443,10.324173,0,29.416998,76.468605,0,0,0,0,32.141354,12.775052,121.38501,44.916405,84.657578,182.40991,39.741173,180.53345,119.17648,82.411758,123.26147,184.61845,40.849716,5,0,0.22727273,1.6289001,47.385002,15.490929,69.724205,0,3.185575,73.953308,0,35.286369,17.643185,82.382317,69.724205,47.385002,0,22.101435,0,35.286369,33.134113,137.41977,91.290001,3.1825252,32.141354,0,0,0,35.533054,45.708275,1049,9.1398716
