v,Feature importance based on training set,Feature importance based on test set,Subtypes,colors
SpMAD_Dzpe,2.8568743305479316e-06,-6.224621426076382e-07,Matrix,#ff00ed
SpMAD_Dzse,-3.7021765654232652e-06,-9.088353677300098e-06,Matrix,#ff00ed
SpMAD_DzZ,-4.254281520843506e-06,-1.1274760419732743e-05,Matrix,#ff00ed
SpMAD_Dzp,-2.6360662145341607e-06,-1.2120739980248096e-05,Matrix,#ff00ed
SpMAD_Dzare,-7.67071138829678e-08,-3.698197278412252e-07,Matrix,#ff00ed
SpMAD_D,-3.581019965004373e-06,-5.850060419643199e-06,Matrix,#ff00ed
AATS5m,6.09084963798523e-07,-2.1268020977682767e-07,Autocorr,#bfff00
AATS5Z,4.366209561679213e-07,1.2279911474344374e-06,Autocorr,#bfff00
AATS2Z,4.011375660306626e-06,4.2258338494027825e-06,Autocorr,#bfff00
MIC3,-2.8782439502772483e-05,-6.546080112457275e-05,InfoContent,#ff0082
MIC4,0.00015294136987498153,0.0001580830324778848,InfoContent,#ff0082
MIC2,0.00012208030305127515,-0.00010514191605837109,InfoContent,#ff0082
AATS3d,0.0002870325168425891,-0.0002778585661541433,Autocorr,#bfff00
AATS2d,0.0003180813721636033,-0.0005076006054878235,Autocorr,#bfff00
AATS1d,-3.7925571880537134e-05,-0.001584871926091025,Autocorr,#bfff00
AATS1v,0.0004965626549991997,-0.0005058768120679291,Autocorr,#bfff00
AATS1p,0.0001031068069013985,7.947737520330733e-06,Autocorr,#bfff00
AATS5p,0.00039552770216355615,0.00044646994634101045,Autocorr,#bfff00
AATS6d,0.0007248004390435492,6.8430196155100376e-06,Autocorr,#bfff00
MINaaCH,0.007768971422179249,0.00527795065533021,Estate,#6568f7
IndexIpc,0.0029153033921665017,0.0004136873917145456,Topology,#00ff1b
IndexHarary,0.006180193529210398,0.004151722924275791,Topology,#00ff1b
CIC0,0.0032666410234841736,0.002554281868717867,InfoContent,#ff0082
IndexPolarity,0.007706663063304031,0.005022989755327001,Topology,#00ff1b
IndexPogliani,0.003948770040138272,0.0029788112098519948,Topology,#00ff1b
IndexPlatt,0.005418124016035697,0.0024158175696025186,Topology,#00ff1b
IndexZagreb2,0.003926032900132936,0.0018223842436616566,Topology,#00ff1b
SIC0,0.0012153324417093492,0.0003273568370124602,InfoContent,#ff0082
IC0,0.002630032260309556,0.001663689586249184,InfoContent,#ff0082
AATS0pe,0.000943572175773788,-0.0008485723625530905,Autocorr,#bfff00
AATS0are,0.000581888312643275,-0.0005218014121055603,Autocorr,#bfff00
GATS8i,-7.416807453741736e-05,-0.00015656446868728136,Autocorr,#bfff00
GATS7d,0.0006005707281557804,0.000405922532081604,Autocorr,#bfff00
GATS8Z,8.796697313140367e-05,8.799745277920934e-05,Autocorr,#bfff00
VR2_DzZ,4.924486645252468e-05,-0.00018540295687596853,Matrix,#ff00ed
VR2_Dzse,0.0002869227054445034,0.00038463215936312967,Matrix,#ff00ed
VR2_Dt,0.0002848898822611634,0.00040958279913116957,Matrix,#ff00ed
SpMAD_Dzv,3.5566362468486545e-06,1.0518865151132317e-06,Matrix,#ff00ed
SpMAD_Dzm,2.171759578395438e-06,1.242892308628285e-06,Matrix,#ff00ed
SpMAD_Dzi,9.654428471228549e-06,2.1736052903231773e-05,Matrix,#ff00ed
SpAbs_A,3.750520673695412e-06,5.079941315377923e-07,Matrix,#ff00ed
VE3_Dzi,1.4483505352047565e-05,-4.949420690536499e-05,Matrix,#ff00ed
AATS7Z,1.6110187227580397e-06,2.5000084529214206e-06,Autocorr,#bfff00
AATS3m,-1.2174926020680488e-06,-2.977522936764565e-06,Autocorr,#bfff00
AATS6Z,2.1135942502858995e-06,-2.3516741666229635e-06,Autocorr,#bfff00
AATS2m,1.6845932061526625e-06,6.854534149169922e-07,Autocorr,#bfff00
AATS1Z,3.1548975544248847e-06,9.461560032564265e-06,Autocorr,#bfff00
MIC5,7.067451422870796e-05,-0.0001358924941583517,InfoContent,#ff0082
MIC1,6.310506300499785e-05,-0.00012053752487362068,InfoContent,#ff0082
AATS0v,5.070534958084849e-05,-8.307397365570068e-06,Autocorr,#bfff00
AATS3v,0.0003488169644366712,-0.0006264272061261567,Autocorr,#bfff00
AATS3p,0.00013061054050922394,5.454231392243436e-05,Autocorr,#bfff00
AATS4p,5.056387321522582e-05,7.135014642367654e-05,Autocorr,#bfff00
AATS5v,0.0008169387213209367,-2.1243637258416825e-05,Autocorr,#bfff00
AATS5d,0.0016606668518348577,0.000915815884416693,Autocorr,#bfff00
AATS7d,0.0009035610339859224,-0.0004023327068849447,Autocorr,#bfff00
MAXaaCH,0.00900045485997747,0.0065141814676197285,Estate,#6568f7
MINaasC,0.007221230559728453,0.003096553412350711,Estate,#6568f7
IndexGutmanTopo,0.0036823827434669942,0.001106650314547708,Topology,#00ff1b
IndexGraphDistance,0.0027669608931649714,0.0014522820711135864,Topology,#00ff1b
IndexMZagreb1,0.006766387261450291,0.0032702447338537333,Topology,#00ff1b
IndexZagreb1,0.0070492561737245385,0.003964472223411897,Topology,#00ff1b
IndexBertzCT,0.002853953872214654,0.0006490668112580922,Topology,#00ff1b
SIC1,0.001580823720856217,-0.0029460808092898194,InfoContent,#ff0082
BIC0,7.421777329663648e-05,-0.00029716166582982595,InfoContent,#ff0082
