v,Feature importance based on training set,Feature importance based on test set,Subtypes,colors,x,y,Bit Substructure,Proportion in PICT,Proportion in TICT
MACCSFP28,5.79E-08,0,MACCSFP,#00d3ff,0,0,"('[!#6;!#1]~[CH2]~[!#6;!#1]', 0)",0.008130081,0.003913894
PubChemFP395,3.51E-05,-5.02E-05,PubChemFP,#8a00ff,1,0,N(~C)(~O),0.032520325,0.037181996
MACCSFP71,3.06E-05,-3.92E-06,MACCSFP,#00d3ff,2,0,"('[#7]~[#8]', 0)",0.032520325,0.037181996
PubChemFP301,4.09E-05,-2.23E-05,PubChemFP,#8a00ff,3,0,N-O,0.032520325,0.037181996
PubChemFP454,6.14E-05,-2.61E-06,PubChemFP,#8a00ff,4,0,N(-C)(=O),0.027100271,0.037181996
PubChemFP647,2.98E-05,3.46E-05,PubChemFP,#8a00ff,5,0,O=C-N-C-N,0.013550136,0.009784736
PubChemFP560,0.000241207,-0.000209052,PubChemFP,#8a00ff,6,0,N-C-N-C,0.124661247,0.115459883
PubChemFP636,0.000218495,0.000192451,PubChemFP,#8a00ff,7,0,C-N-C-N-C,0.12195122,0.113502935
PubChemFP379,0.000247865,0.0001554,PubChemFP,#8a00ff,8,0,C(~N)(:N),0.119241192,0.105675147
PubChemFP519,0.000339097,-0.000138254,PubChemFP,#8a00ff,9,0,N=C-N-C,0.132791328,0.135029354
PubChemFP375,0.000399979,7.51E-06,PubChemFP,#8a00ff,10,0,C(~N)(~N),0.149051491,0.146771037
PubChemFP450,0.000382904,8.51E-05,PubChemFP,#8a00ff,11,0,C(-N)(=N),0.135501355,0.136986301
MACCSFP38,0.000390915,0.000152615,MACCSFP,#00d3ff,12,0,"('[#7]~[#6](~[#6])~[#7]', 0)",0.12195122,0.129158513
PubChemFP676,0.000175618,6.48E-05,PubChemFP,#8a00ff,13,0,N#C-C-C-C,0.067750678,0.078277886
PubChemFP568,0.000478617,0.000188605,PubChemFP,#8a00ff,14,0,N#C-C-C,0.189701897,0.166340509
PubChemFP419,0.00047362,-4.30E-05,PubChemFP,#8a00ff,15,0,C#N,0.195121951,0.17221135
MACCSFP41,0.000460846,5.80E-05,MACCSFP,#00d3ff,16,0,"('[#6]#[#7]', 0)",0.195121951,0.17221135
PubChemFP466,0.000392946,-8.56E-05,PubChemFP,#8a00ff,17,0,N#C-C=C,0.192411924,0.166340509
PubChemFP429,0.000459152,-0.000143117,PubChemFP,#8a00ff,18,0,C(#N)(-C),0.195121951,0.17221135
PubChemFP515,8.28E-05,-2.01E-06,PubChemFP,#8a00ff,19,0,N-N-C-C,0.027100271,0.02739726
PubChemFP422,5.85E-05,-1.57E-05,PubChemFP,#8a00ff,20,0,N=N,0.029810298,0.017612524
MACCSFP52,0.000122848,2.88E-05,MACCSFP,#00d3ff,21,0,"('[#7]~[#7]', 0)",0.043360434,0.037181996
PubChemFP300,8.91E-05,6.51E-06,PubChemFP,#8a00ff,22,0,N-N,0.043360434,0.037181996
PubChemFP518,8.80E-06,0,PubChemFP,#8a00ff,23,0,O=C-N-N,0.008130081,0.005870841
PubChemFP392,0.000300084,-0.000187801,PubChemFP,#8a00ff,24,0,N(~C)(~C)(~H),0.149051491,0.11741683
PharmacoErGFP20,0.000267278,-7.08E-05,PharmacoErGFP,#005dff,25,0,"('Donor', 'Donor', 21)",0.170731707,0.136986301
PharmacoErGFP0,1.63E-05,5.04E-06,PharmacoErGFP,#005dff,26,0,"('Donor', 'Donor', 1)",0.008130081,0.019569472
PharmacoErGFP40,1.51E-05,8.44E-05,PharmacoErGFP,#005dff,27,0,"('Donor', 'Acceptor', 20)",0,0.017612524
PharmacoErGFP220,1.32E-05,5.04E-06,PharmacoErGFP,#005dff,28,0,"('Acceptor', 'Aromatic', 11)",0.005420054,0.015655577
PharmacoErGFP221,1.41E-05,3.37E-05,PharmacoErGFP,#005dff,29,0,"('Acceptor', 'Aromatic', 12)",0.005420054,0.005870841
PharmacoErGFP141,0.000197674,9.36E-05,PharmacoErGFP,#005dff,30,0,"('Acceptor', 'Acceptor', 16)",0.119241192,0.170254403
PharmacoErGFP283,0.000305707,1.76E-05,PharmacoErGFP,#005dff,31,0,"('Positive', 'Hydrophobic', 11)",0.243902439,0.326810176
PharmacoErGFP280,0.000332289,0.000215053,PharmacoErGFP,#005dff,32,0,"('Positive', 'Hydrophobic', 8)",0.257452575,0.389432485
PharmacoErGFP281,0.000306393,0.000129935,PharmacoErGFP,#005dff,33,0,"('Positive', 'Hydrophobic', 9)",0.262872629,0.39334638
PharmacoErGFP142,0.000120895,-6.15E-05,PharmacoErGFP,#005dff,34,0,"('Acceptor', 'Acceptor', 17)",0.151761518,0.197651663
PharmacoErGFP144,0.000141778,-9.47E-06,PharmacoErGFP,#005dff,35,0,"('Acceptor', 'Acceptor', 19)",0.184281843,0.234833659
PubChemFP367,7.31E-06,0,PubChemFP,#8a00ff,0,1,C(~H)(~O)(~O),0.002710027,0.007827789
MACCSFP13,7.87E-06,0,MACCSFP,#00d3ff,1,1,"('[#8]~[#7](~[#6])~[#6]', 0)",0.005420054,0
PubChemFP514,2.97E-05,-6.45E-05,PubChemFP,#8a00ff,2,1,O-N-C-C,0.032520325,0.035225049
MACCSFP24,3.04E-05,-0.00012691,MACCSFP,#00d3ff,3,1,"('[#7]-[#8]', 0)",0.029810298,0.033268102
PubChemFP648,5.86E-06,2.56E-05,PubChemFP,#8a00ff,4,1,O=N-C:C-N,0.010840108,0.007827789
PubChemFP558,3.57E-05,-9.65E-05,PubChemFP,#8a00ff,5,1,O=N-C:C,0.027100271,0.035225049
MACCSFP37,2.35E-05,0,MACCSFP,#00d3ff,6,1,"('[#7]~[#6](~[#8])~[#7]', 0)",0.005420054,0.005870841
PubChemFP654,0.000307747,5.67E-05,PubChemFP,#8a00ff,7,1,N-C-N-C-C,0.124661247,0.115459883
PubChemFP674,0.000280624,0.000282245,PubChemFP,#8a00ff,8,1,N-C-N-C:C,0.119241192,0.1037182
MACCSFP77,0.000584862,-0.000332667,MACCSFP,#00d3ff,9,1,"('[#7]~*~[#7]', 0)",0.20596206,0.232876712
PubChemFP487,0.00035592,2.48E-05,PubChemFP,#8a00ff,10,1,N-C=N-C,0.127371274,0.136986301
PubChemFP596,0.000427797,8.88E-05,PubChemFP,#8a00ff,11,1,N=C-N-C-C,0.127371274,0.135029354
MACCSFP25,2.57E-05,-9.37E-05,MACCSFP,#00d3ff,12,1,"('[#7]~[#6](~[#7])~[#7]', 0)",0.005420054,0.001956947
PubChemFP389,0.000293423,0.000136081,PubChemFP,#8a00ff,13,1,C(:N)(:N),0.097560976,0.086105675
PubChemFP438,0.000425013,2.45E-05,PubChemFP,#8a00ff,14,1,C(-C)(-N)(=N),0.119241192,0.121330724
PubChemFP359,0.000264744,-3.38E-05,PubChemFP,#8a00ff,15,1,C(~C)(:N)(:N),0.08401084,0.080234834
PubChemFP378,0.000141731,-2.32E-05,PubChemFP,#8a00ff,16,1,C(~N)(:C)(:N),0.035230352,0.029354207
PubChemFP486,2.12E-05,0,PubChemFP,#8a00ff,17,1,N-C:N:N,0.010840108,0.001956947
PubChemFP517,7.04E-05,0,PubChemFP,#8a00ff,18,1,N-N-C-N,0.016260163,0.003913894
PubChemFP467,9.51E-05,6.38E-05,PubChemFP,#8a00ff,19,1,C=N-N-C,0.029810298,0.023483366
PubChemFP644,9.87E-05,-7.35E-05,PubChemFP,#8a00ff,20,1,C-C=N-N-C,0.029810298,0.023483366
PubChemFP496,3.19E-05,1.68E-05,PubChemFP,#8a00ff,21,1,N:N-C-[#1],0.010840108,0.009784736
PubChemFP394,1.04E-05,0.000123272,PubChemFP,#8a00ff,22,1,N(~C)(~H)(~N),0.008130081,0.009784736
PubChemFP510,0,1.66E-05,PubChemFP,#8a00ff,23,1,[#1]-N-N-[#1],0,0.001956947
PubChemFP393,0.000444767,-9.26E-05,PubChemFP,#8a00ff,24,1,N(~C)(~H),0.219512195,0.162426614
MACCSFP84,0.00012439,9.31E-05,MACCSFP,#00d3ff,25,1,"('[NH2]', 0)",0.067750678,0.043052838
PharmacoErGFP1,4.93E-05,7.79E-05,PharmacoErGFP,#005dff,26,1,"('Donor', 'Donor', 2)",0.013550136,0.035225049
MACCSFP43,3.38E-05,-2.68E-06,MACCSFP,#00d3ff,27,1,"('[!#6;!#1;!H0]~*~[!#6;!#1;!H0]', 0)",0.005420054,0.021526419
PharmacoErGFP41,3.43E-05,0.000144094,PharmacoErGFP,#005dff,28,1,"('Donor', 'Acceptor', 21)",0.008130081,0.033268102
